Designator,Mid X,Mid Y,Layer,Rotation
C1,31.24,27.69,Top,180.0
C2,31.24,28.96,Top,180.0
C3,31.24,30.23,Top,180.0
C4,25.65,16.76,Top,0.0
C5,25.65,15.49,Top,0.0
C6,25.65,14.22,Top,0.0
C7,31.24,26.42,Top,180.0
C8,27.43,45.47,Top,0.0
C9,30.73,45.47,Top,0.0
C10,31.75,32.00,Top,0.0
C11,25.15,41.40,Top,180.0
C12,24.38,59.69,Top,90.0
C13,33.53,59.69,Top,90.0
C14,22.86,49.78,Top,270.0
C15,26.16,36.83,Top,270.0
C16,33.02,40.39,Top,90.0
C17,16.51,28.19,Top,270.0
C18,43.94,22.35,Top,270.0
C19,42.67,22.35,Top,270.0
C20,12.95,22.35,Top,0.0
C21,41.40,22.35,Top,270.0
C22,47.24,28.19,Top,0.0
C23,47.24,29.46,Top,0.0
C24,36.32,10.92,Top,180.0
C25,23.11,15.24,Top,90.0
C26,46.23,31.24,Top,180.0
C27,39.12,22.35,Top,180.0
C28,43.43,19.30,Top,180.0
C29,44.70,39.12,Top,90.0
C30,43.43,15.75,Top,270.0
C31,44.20,37.08,Top,0.0
C32,55.37,37.08,Top,180.0
C33,49.78,40.89,Top,0.0
C34,55.37,34.54,Top,180.0
C35,49.78,39.62,Top,180.0
C36,55.37,35.81,Top,180.0
C37,40.39,54.61,Top,90.0
C38,20.83,33.53,Top,90.0
C39,20.83,28.19,Top,270.0
C40,18.54,28.19,Top,270.0
C41,18.54,33.53,Top,90.0
C42,12.70,40.64,Top,0.0
C43, 7.37,38.35,Top,180.0
C44,12.70,38.35,Top,0.0
C45, 7.37,40.64,Top,180.0
C46,12.70,45.21,Top,0.0
C47,12.95,20.32,Top,0.0
C48,11.18,52.07,Top,0.0
C49,47.24,26.92,Top,0.0
C50, 7.37,42.93,Top,180.0
C51,12.70,42.93,Top,0.0
C52, 7.37,45.21,Top,180.0
C53,38.10,54.61,Top,270.0
C54, 5.84,27.43,Top,270.0
C55,12.95,18.29,Top,0.0
C56,12.95,16.00,Top,0.0
C57,12.95,13.72,Top,0.0
C58,54.86,39.12,Top,90.0
C59,36.83, 8.38,Top,90.0
C60,45.97,10.16,Top,90.0
C61,42.93,27.94,Top,180.0
C62,18.54,63.50,Top,180.0
CR1,15.49,10.41,Top,90.0
CR2,21.84,10.41,Top,90.0
CR3,28.19,10.41,Top,90.0
CR4, 6.10,49.78,Top,270.0
D1,47.24,37.59,Top,0.0
D2,52.32,37.59,Top,0.0
D3,48.26, 7.62,Top,0.0
D4,11.18,50.04,Top,180.0
D5,17.27,57.91,Top,90.0
D6,20.07,57.91,Top,90.0
D7,20.07,53.34,Top,90.0
D8,17.27,53.34,Top,90.0
D10,29.46,36.83,Top,0.0
F1,20.07,48.51,Top,270.0
F2,17.27,48.51,Top,270.0
J1,51.05, 4.32,Top,0.0
L1,28.96,49.78,Top,90.0
L3,28.96,58.17,Top,0.0
L4,11.18,58.17,Top,0.0
L6, 6.86,19.81,Top,90.0
R1,31.75,34.04,Top,0.0
R2,21.08,15.24,Top,90.0
R3,22.10,18.03,Top,180.0
R4,22.10,19.30,Top,180.0
R5,22.10,23.11,Top,180.0
R6,22.10,24.38,Top,180.0
R7,51.05,15.75,Top,90.0
R8,55.37,17.27,Top,180.0
R9,55.37,18.54,Top,180.0
R10,55.37,19.81,Top,180.0
R11,27.43,15.75,Top,270.0
R12,45.97,15.75,Top,90.0
R13,29.97,15.75,Top,270.0
R14,44.70,15.75,Top,90.0
R15,45.21,40.89,Top,0.0
R16,47.50,40.89,Top,0.0
R17,10.92, 2.79,Top,180.0
R18,52.07,40.89,Top,0.0
R19,29.46,28.45,Top,270.0
R20,28.19,28.45,Top,270.0
R21,26.92,28.45,Top,270.0
R22,10.92, 6.86,Top,0.0
R23,25.65,28.45,Top,270.0
R24,24.13,36.83,Top,90.0
R25,25.15,39.37,Top,0.0
R26,34.80,22.35,Top,0.0
R27,28.70,15.75,Top,270.0
R28,34.80,23.88,Top,180.0
R29,22.10,20.57,Top,180.0
R30,22.10,21.84,Top,180.0
R31,31.24,15.75,Top,270.0
R32,46.36,54.61,Top,90.0
R33,52.71,54.61,Top,90.0
R34,10.92, 4.83,Top,180.0
R35,33.53,55.37,Top,270.0
R36,24.38,55.37,Top,270.0
R37,55.37,27.43,Top,180.0
R38,42.93,31.75,Top,0.0
R39,55.37,24.89,Top,0.0
R40,42.93,29.21,Top,0.0
R41,43.43,20.57,Top,0.0
R42,39.12,20.32,Top,180.0
R43,46.23,33.27,Top,180.0
R44,33.78,15.75,Top,90.0
R45,33.78,13.21,Top,270.0
R46,33.78,10.92,Top,180.0
R47,55.37,16.00,Top,0.0
