Comment,Designator,Footprint,LCSC Part #
0,R1 R2 R42 R43 R61 R70,603,
0.1uF,C2 C5,0402_INDUCTOR,
0.1uF,C14 C17,603,
0.1uF,C24 C29 C33 C35,0402_INDUCTOR,
0.1uF,C48,603,
0.1uF,C58 C59 C60,0402_INDUCTOR,
0.47uF,C8 C9 C16,603,
0R,R64,1206,
1.5k,R52,R0402,
1M,R57 R65,1206,
1k,R13 R14,R0402,
1k,R35 R36,603,
1mH,L2,SNR5040,C2827402
1mH,L3 L4,SMCM090605,C1692756
1mH,L5,SNR5040,C2827402
1nF,C19 C22,0402_INDUCTOR,
1nF 1kV,C12 C13 C37 C53 C62,C1206,
1uF,C3 C6,0402_INDUCTOR,
1uF,C11,603,
1uF,C31 C32 C34 C36,0402_INDUCTOR,
1uF,C38 C39 C40 C41 C42 C43 C44 C45 C46 C50 C51 C52,C1206,
2.2k,R31 R38 R39 R40 R54,R0402,
2.49k,R26 R27 R28 R47 R48 R49 R55,R0402,
2k,R20 R21 R50,R0402,
4.87k,R37,R0402,
5.1k,R51,R0402,
10,R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R44 R45 R46,R0402,
10k,R53,R0402,
10nF,C1 C4 C7 C21 C23 C61,0402_INDUCTOR,
10uF,C10 C15 C25 C26 C27,603,
51k,R68,603,
22uF,C55 C56 C57,C1206,
22uH,L6,TMPC0603H,C357197
47pF,C28 C30,0402_INDUCTOR,
49.9,R15 R16 R18 R19 R23,R0402,
49.9,R24 R25,603,
49.9,R32 R33 R56 R60 R63,R0402,
22k,R69,603,
68k,R67,603,
100k,R62,603,
100nF,C20 C47 C54,603,
100pF,C18 C49,0402_INDUCTOR,
220k,R66,603,
470,R17 R22 R34,603,
1206_FUSE,F1 F2,1206,C207239
10104110-0001LF,J1,MICRO_USB,C2931352
824501401,CR4,DO-214AC,C148235
ALT4532M-201-T001,T1,TDK_ALT,C2845101
CO32H4-25.000-33GDTST,U3,3.2X2.5_4SMD,C5185361
DNP,R29 R30 R41 R58 R59,R0402,
DNP,R71,603,
DP83TD510ERHBR,U1,QFN32-55_TI,C2862898
DP83822IRHBR,U2,QFN32-55_TI,C601649
H1102NLT,T4,H1102NLT,C18584
LMR38020SDDAR,U4,SOIC8_TP_TI,C3192337
GREEN,CR2 CR3,0603_DIODE,C965804
RED,CR1,0603_DIODE,C2286
SM4007PL,D3 D4 D5 D6 D7 D8,SOD123(AK),C64898
SN74LVC1G17DCKR,U5 U6,SC-70,C10425
SP3003-02JTG,D1 D2 D10,SC-70-5,C151302
DNP,JP1,5-pin,
210-82-03GB01,JP2,6-pin,C390684
HC-RJ45-5622-1-4,J2,,C3010550
KF141R-2.54-3P,J3,,C475125
KF141R-2.54-2P,J4,,C475124
