Freq.	(100+1/I(V1))/(100-1/I(V1))
1.00000000000000e+005	(-8.05084815832306e+000dB,-6.62734137640444e+001°)
1.02329299228075e+005	(-8.22798381351248e+000dB,-6.67300157711873e+001°)
1.04712854805090e+005	(-8.40654470630825e+000dB,-6.71762695281247e+001°)
1.07151930523761e+005	(-8.58648494770712e+000dB,-6.76120510443375e+001°)
1.09647819614319e+005	(-8.76775842767346e+000dB,-6.80372449429875e+001°)
1.12201845430196e+005	(-8.95031885168057e+000dB,-6.84517443798918e+001°)
1.14815362149688e+005	(-9.13411977645910e+000dB,-6.88554509674582e+001°)
1.17489755493953e+005	(-9.31911464529398e+000dB,-6.92482747032626e+001°)
1.20226443461741e+005	(-9.50525682318782e+000dB,-6.96301339026267e+001°)
1.23026877081238e+005	(-9.69249963217728e+000dB,-7.00009551342001e+001°)
1.25892541179417e+005	(-9.88079638706349e+000dB,-7.03606731572123e+001°)
1.28824955169313e+005	(-1.00701004317653e+001dB,-7.07092308588777e+001°)
1.31825673855641e+005	(-1.02603651764657e+001dB,-7.10465791901096e+001°)
1.34896288259165e+005	(-1.04515441356661e+001dB,-7.13726770975837e+001°)
1.38038426460288e+005	(-1.06435909672102e+001dB,-7.16874914501339e+001°)
1.41253754462275e+005	(-1.08364595122862e+001dB,-7.19909969572060e+001°)
1.44543977074593e+005	(-1.10301038363508e+001dB,-7.22831760773394e+001°)
1.47910838816821e+005	(-1.12244782708721e+001dB,-7.25640189144460e+001°)
1.51356124843621e+005	(-1.14195374557250e+001dB,-7.28335231000306e+001°)
1.54881661891248e+005	(-1.16152363820270e+001dB,-7.30916936593127e+001°)
1.58489319246111e+005	(-1.18115304351518e+001dB,-7.33385428598149e+001°)
1.62181009735893e+005	(-1.20083754376149e+001dB,-7.35740900408724e+001°)
1.65958690743756e+005	(-1.22057276914929e+001dB,-7.37983614230703e+001°)
1.69824365246174e+005	(-1.24035440200040e+001dB,-7.40113898967814e+001°)
1.73780082874937e+005	(-1.26017818078624e+001dB,-7.42132147894055e+001°)
1.77827941003892e+005	(-1.28003990399971e+001dB,-7.44038816112762e+001°)
1.81970085860998e+005	(-1.29993543382294e+001dB,-7.45834417804807e+001°)
1.86208713666287e+005	(-1.31986069954950e+001dB,-7.47519523273791e+001°)
1.90546071796325e+005	(-1.33981170072246e+001dB,-7.49094755798292e+001°)
1.94984459975804e+005	(-1.35978450994946e+001dB,-7.50560788304779e+001°)
1.99526231496888e+005	(-1.37977527536019e+001dB,-7.51918339879730e+001°)
2.04173794466953e+005	(-1.39978022267446e+001dB,-7.53168172140317e+001°)
2.08929613085404e+005	(-1.41979565685186e+001dB,-7.54311085487018e+001°)
2.13796208950223e+005	(-1.43981796330039e+001dB,-7.55347915263191e+001°)
2.18776162394955e+005	(-1.45984360862347e+001dB,-7.56279527849040e+001°)
2.23872113856834e+005	(-1.47986914089206e+001dB,-7.57106816717845e+001°)
2.29086765276777e+005	(-1.49989118943176e+001dB,-7.57830698484522e+001°)
2.34422881531992e+005	(-1.51990646412142e+001dB,-7.58452108975434e+001°)
2.39883291901949e+005	(-1.53991175420342e+001dB,-7.58971999350031e+001°)
2.45470891568503e+005	(-1.55990392661211e+001dB,-7.59391332303733e+001°)
2.51188643150958e+005	(-1.57987992383068e+001dB,-7.59711078379661e+001°)
2.57039578276886e+005	(-1.59983676129082e+001dB,-7.59932212418522e+001°)
2.63026799189538e+005	(-1.61977152433582e+001dB,-7.60055710170981e+001°)
2.69153480392691e+005	(-1.63968136476760e+001dB,-7.60082545097698e+001°)
2.75422870333816e+005	(-1.65956349700551e+001dB,-7.60013685379399e+001°)
2.81838293126445e+005	(-1.67941519388436e+001dB,-7.59850091156793e+001°)
2.88403150312660e+005	(-1.69923378212347e+001dB,-7.59592712018910e+001°)
2.95120922666638e+005	(-1.71901663749889e+001dB,-7.59242484754992e+001°)
3.01995172040201e+005	(-1.73876117975315e+001dB,-7.58800331383883e+001°)
3.09029543251359e+005	(-1.75846486727816e+001dB,-7.58267157471302e+001°)
3.16227766016838e+005	(-1.77812519160604e+001dB,-7.57643850744771e+001°)
3.23593656929628e+005	(-1.79773967174441e+001dB,-7.56931280011196e+001°)
3.31131121482591e+005	(-1.81730584839111e+001dB,-7.56130294383599e+001°)
3.38844156139202e+005	(-1.83682127806450e+001dB,-7.55241722817793e+001°)
3.46736850452531e+005	(-1.85628352718256e+001dB,-7.54266373960157e+001°)
3.54813389233575e+005	(-1.87569016612444e+001dB,-7.53205036306472e+001°)
3.63078054770101e+005	(-1.89503876330840e+001dB,-7.52058478667691e+001°)
3.71535229097172e+005	(-1.91432687931596e+001dB,-7.50827450940556e+001°)
3.80189396320561e+005	(-1.93355206109186e+001dB,-7.49512685175982e+001°)
3.89045144994280e+005	(-1.95271183625044e+001dB,-7.48114896941209e+001°)
3.98107170553497e+005	(-1.97180370751412e+001dB,-7.46634786967027e+001°)
4.07380277804112e+005	(-1.99082514731140e+001dB,-7.45073043072860e+001°)
4.16869383470335e+005	(-2.00977359255777e+001dB,-7.43430342360897e+001°)
4.26579518801592e+005	(-2.02864643964500e+001dB,-7.41707353670931e+001°)
4.36515832240165e+005	(-2.04744103966163e+001dB,-7.39904740284610e+001°)
4.46683592150962e+005	(-2.06615469386333e+001dB,-7.38023162870364e+001°)
4.57088189614874e+005	(-2.08478464941907e+001dB,-7.36063282657552e+001°)
4.67735141287197e+005	(-2.10332809544847e+001dB,-7.34025764829155e+001°)
4.78630092322637e+005	(-2.12178215937295e+001dB,-7.31911282120988e+001°)
4.89778819368445e+005	(-2.14014390359790e+001dB,-7.29720518615783e+001°)
5.01187233627271e+005	(-2.15841032254403e+001dB,-7.27454173720128e+001°)
5.12861383991364e+005	(-2.17657834004782e+001dB,-7.25112966310419e+001°)
5.24807460249771e+005	(-2.19464480714503e+001dB,-7.22697639034676e+001°)
5.37031796370251e+005	(-2.21260650025749e+001dB,-7.20208962756381e+001°)
5.49540873857623e+005	(-2.23046011979761e+001dB,-7.17647741124473e+001°)
5.62341325190348e+005	(-2.24820228920735e+001dB,-7.15014815255180e+001°)
5.75439937337156e+005	(-2.26582955444797e+001dB,-7.12311068507167e+001°)
5.88843655355588e+005	(-2.28333838395363e+001dB,-7.09537431334534e+001°)
6.02559586074356e+005	(-2.30072516906532e+001dB,-7.06694886197104e+001°)
6.16595001861481e+005	(-2.31798622495542e+001dB,-7.03784472509732e+001°)
6.30957344480192e+005	(-2.33511779205983e+001dB,-7.00807291608828e+001°)
6.45654229034654e+005	(-2.35211603802314e+001dB,-6.97764511713746e+001°)
6.60693448007594e+005	(-2.36897706017052e+001dB,-6.94657372860804e+001°)
6.76082975391980e+005	(-2.38569688851324e+001dB,-6.91487191783518e+001°)
6.91830970918935e+005	(-2.40227148929167e+001dB,-6.88255366714687e+001°)
7.07945784384136e+005	(-2.41869676906190e+001dB,-6.84963382080907e+001°)
7.24435960074988e+005	(-2.43496857932449e+001dB,-6.81612813063141e+001°)
7.41310241300916e+005	(-2.45108272169750e+001dB,-6.78205329992438e+001°)
7.58577575029182e+005	(-2.46703495362163e+001dB,-6.74742702549626e+001°)
7.76247116628690e+005	(-2.48282099459526e+001dB,-6.71226803738388e+001°)
7.94328234724279e+005	(-2.49843653292146e+001dB,-6.67659613599614e+001°)
8.12830516164097e+005	(-2.51387723295898e+001dB,-6.64043222630801e+001°)
8.31763771102669e+005	(-2.52913874284028e+001dB,-6.60379834883509e+001°)
8.51138038202374e+005	(-2.54421670264915e+001dB,-6.56671770698461e+001°)
8.70963589956078e+005	(-2.55910675301198e+001dB,-6.52921469052095e+001°)
8.91250938133743e+005	(-2.57380454407694e+001dB,-6.49131489477038e+001°)
9.12010839355907e+005	(-2.58830574483663e+001dB,-6.45304513528669e+001°)
9.33254300796989e+005	(-2.60260605274524e+001dB,-6.41443345767497e+001°)
9.54992586021433e+005	(-2.61670120358895e+001dB,-6.37550914226583e+001°)
9.77237220955808e+005	(-2.63058698154175e+001dB,-6.33630270343416e+001°)
9.99999999999997e+005	(-2.64425922935715e+001dB,-6.29684588327525e+001°)
1.02329299228075e+006	(-2.65771385862401e+001dB,-6.25717163949311e+001°)
1.04712854805090e+006	(-2.67094686002402e+001dB,-6.21731412727434e+001°)
1.07151930523760e+006	(-2.68395431351485e+001dB,-6.17730867507987e+001°)
1.09647819614318e+006	(-2.69673239836497e+001dB,-6.13719175422780e+001°)
1.12201845430196e+006	(-2.70927740296574e+001dB,-6.09700094225063e+001°)
1.14815362149688e+006	(-2.72158573433937e+001dB,-6.05677488002483e+001°)
1.17489755493953e+006	(-2.73365392726952e+001dB,-6.01655322272357e+001°)
1.20226443461741e+006	(-2.74547865297307e+001dB,-5.97637658470708e+001°)
1.23026877081238e+006	(-2.75705672722880e+001dB,-5.93628647854550e+001°)
1.25892541179416e+006	(-2.76838511790777e+001dB,-5.89632524830222e+001°)
1.28824955169313e+006	(-2.77946095181015e+001dB,-5.85653599745211e+001°)
1.31825673855640e+006	(-2.79028152076337e+001dB,-5.81696251163821e+001°)
1.34896288259165e+006	(-2.80084428689752e+001dB,-5.77764917673767e+001°)
1.38038426460288e+006	(-2.81114688706591e+001dB,-5.73864089252699e+001°)
1.41253754462275e+006	(-2.82118713633585e+001dB,-5.69998298251086e+001°)
1.44543977074592e+006	(-2.83096303053528e+001dB,-5.66172110026865e+001°)
1.47910838816820e+006	(-2.84047274779208e+001dB,-5.62390113296963e+001°)
1.51356124843620e+006	(-2.84971464907320e+001dB,-5.58656910243035e+001°)
1.54881661891248e+006	(-2.85868727768007e+001dB,-5.54977106442990e+001°)
1.58489319246111e+006	(-2.86738935771647e+001dB,-5.51355300669956e+001°)
1.62181009735892e+006	(-2.87581979152066e+001dB,-5.47796074624904e+001°)
1.65958690743755e+006	(-2.88397765608338e+001dB,-5.44303982654545e+001°)
1.69824365246174e+006	(-2.89186219846770e+001dB,-5.40883541512309e+001°)
1.73780082874937e+006	(-2.89947283027907e+001dB,-5.37539220211210e+001°)
1.77827941003892e+006	(-2.90680912121352e+001dB,-5.34275430025162e+001°)
1.81970085860998e+006	(-2.91387079173842e+001dB,-5.31096514687242e+001°)
1.86208713666286e+006	(-2.92065770497921e+001dB,-5.28006740821654e+001°)
1.90546071796324e+006	(-2.92716985785931e+001dB,-5.25010288661899e+001°)
1.94984459975804e+006	(-2.93340737158550e+001dB,-5.22111243081188e+001°)
1.99526231496887e+006	(-2.93937048153900e+001dB,-5.19313584978581e+001°)
2.04173794466952e+006	(-2.94505952667737e+001dB,-5.16621183036438e+001°)
2.08929613085403e+006	(-2.95047493851780e+001dB,-5.14037785882056e+001°)
2.13796208950222e+006	(-2.95561722980118e+001dB,-5.11567014666446e+001°)
2.18776162394954e+006	(-2.96048698292791e+001dB,-5.09212356074819e+001°)
2.23872113856833e+006	(-2.96508483826003e+001dB,-5.06977155775964e+001°)
2.29086765276776e+006	(-2.96941148238337e+001dB,-5.04864612316047e+001°)
2.34422881531991e+006	(-2.97346763641930e+001dB,-5.02877771457406e+001°)
2.39883291901948e+006	(-2.97725404448326e+001dB,-5.01019520956431e+001°)
2.45470891568502e+006	(-2.98077146237262e+001dB,-4.99292585775867e+001°)
2.51188643150957e+006	(-2.98402064657753e+001dB,-4.97699523718081e+001°)
2.57039578276885e+006	(-2.98700234368890e+001dB,-4.96242721471036e+001°)
2.63026799189537e+006	(-2.98971728028550e+001dB,-4.94924391049823e+001°)
2.69153480392690e+006	(-2.99216615338504e+001dB,-4.93746566611744e+001°)
2.75422870333815e+006	(-2.99434962149245e+001dB,-4.92711101648970e+001°)
2.81838293126444e+006	(-2.99626829636611e+001dB,-4.91819666506452e+001°)
2.88403150312659e+006	(-2.99792273549027e+001dB,-4.91073746249648e+001°)
2.95120922666637e+006	(-2.99931343537142e+001dB,-4.90474638826471e+001°)
3.01995172040200e+006	(-3.00044082565383e+001dB,-4.90023453536393e+001°)
3.09029543251358e+006	(-3.00130526413550e+001dB,-4.89721109768870e+001°)
3.16227766016837e+006	(-3.00190703267343e+001dB,-4.89568336023992e+001°)
3.23593656929627e+006	(-3.00224633404012e+001dB,-4.89565669184950e+001°)
3.31131121482590e+006	(-3.00232328974868e+001dB,-4.89713454034360e+001°)
3.38844156139201e+006	(-3.00213793883386e+001dB,-4.90011843026908e+001°)
3.46736850452530e+006	(-3.00169023764564e+001dB,-4.90460796283299e+001°)
3.54813389233574e+006	(-3.00098006058954e+001dB,-4.91060081848690e+001°)
3.63078054770100e+006	(-3.00000720187862e+001dB,-4.91809276172490e+001°)
3.71535229097171e+006	(-2.99877137824922e+001dB,-4.92707764838608e+001°)
3.80189396320559e+006	(-2.99727223261150e+001dB,-4.93754743560455e+001°)
3.89045144994279e+006	(-2.99550933865106e+001dB,-4.94949219424638e+001°)
3.98107170553495e+006	(-2.99348220630563e+001dB,-4.96290012424800e+001°)
4.07380277804111e+006	(-2.99119028813421e+001dB,-4.97775757265702e+001°)
4.16869383470333e+006	(-2.98863298646900e+001dB,-4.99404905494272e+001°)
4.26579518801591e+006	(-2.98580966136641e+001dB,-5.01175727933977e+001°)
4.36515832240164e+006	(-2.98271963925902e+001dB,-5.03086317467566e+001°)
4.46683592150961e+006	(-2.97936222226878e+001dB,-5.05134592171916e+001°)
4.57088189614873e+006	(-2.97573669812191e+001dB,-5.07318298819700e+001°)
4.67735141287196e+006	(-2.97184235054618e+001dB,-5.09635016793570e+001°)
4.78630092322636e+006	(-2.96767847016471e+001dB,-5.12082162374091e+001°)
4.89778819368444e+006	(-2.96324436570615e+001dB,-5.14656993475675e+001°)
5.01187233627270e+006	(-2.95853937551908e+001dB,-5.17356614799019e+001°)
5.12861383991362e+006	(-2.95356287927604e+001dB,-5.20177983425339e+001°)
5.24807460249770e+006	(-2.94831430976994e+001dB,-5.23117914862266e+001°)
5.37031796370250e+006	(-2.94279316472413e+001dB,-5.26173089535979e+001°)
5.49540873857621e+006	(-2.93699901853349e+001dB,-5.29340059721875e+001°)
5.62341325190346e+006	(-2.93093153378073e+001dB,-5.32615256942875e+001°)
5.75439937337154e+006	(-2.92459047255181e+001dB,-5.35994999758611e+001°)
5.88843655355586e+006	(-2.91797570732767e+001dB,-5.39475502004478e+001°)
6.02559586074354e+006	(-2.91108723145097e+001dB,-5.43052881410570e+001°)
6.16595001861479e+006	(-2.90392516903818e+001dB,-5.46723168600158e+001°)
6.30957344480190e+006	(-2.89648978428304e+001dB,-5.50482316422016e+001°)
6.45654229034652e+006	(-2.88878149008164e+001dB,-5.54326209580657e+001°)
6.60693448007592e+006	(-2.88080085582812e+001dB,-5.58250674566658e+001°)
6.76082975391978e+006	(-2.87254861443411e+001dB,-5.62251489783571e+001°)
6.91830970918932e+006	(-2.86402566842924e+001dB,-5.66324395870619e+001°)
7.07945784384134e+006	(-2.85523309514602e+001dB,-5.70465106145570e+001°)
7.24435960074986e+006	(-2.84617215090228e+001dB,-5.74669317139896e+001°)
7.41310241300913e+006	(-2.83684427420454e+001dB,-5.78932719146458e+001°)
7.58577575029179e+006	(-2.82725108790451e+001dB,-5.83251006747084e+001°)
7.76247116628687e+006	(-2.81739440032830e+001dB,-5.87619889251404e+001°)
7.94328234724277e+006	(-2.80727620537707e+001dB,-5.92035100989383e+001°)
8.12830516164094e+006	(-2.79689868158515e+001dB,-5.96492411416438e+001°)
8.31763771102666e+006	(-2.78626419018839e+001dB,-6.00987634958700e+001°)
8.51138038202371e+006	(-2.77537527219873e+001dB,-6.05516640564222e+001°)
8.70963589956075e+006	(-2.76423464454090e+001dB,-6.10075360900252e+001°)
8.91250938133740e+006	(-2.75284519528649e+001dB,-6.14659801157278e+001°)
9.12010839355904e+006	(-2.74120997806481e+001dB,-6.19266047403475e+001°)
9.33254300796985e+006	(-2.72933220564306e+001dB,-6.23890274482814e+001°)
9.54992586021430e+006	(-2.71721524282625e+001dB,-6.28528753384836e+001°)
9.77237220955804e+006	(-2.70486259867048e+001dB,-6.33177858090465e+001°)
9.99999999999993e+006	(-2.69227791813236e+001dB,-6.37834071848529e+001°)
1.02329299228075e+007	(-2.67946497319036e+001dB,-6.42493992882635e+001°)
1.04712854805089e+007	(-2.66642765355011e+001dB,-6.47154339499199e+001°)
1.07151930523760e+007	(-2.65316995700101e+001dB,-6.51811954594439e+001°)
1.09647819614318e+007	(-2.63969597944563e+001dB,-6.56463809579036e+001°)
1.12201845430196e+007	(-2.62600990479488e+001dB,-6.61107007676998e+001°)
1.14815362149688e+007	(-2.61211599469237e+001dB,-6.65738786649028e+001°)
1.17489755493952e+007	(-2.59801857816581e+001dB,-6.70356520941374e+001°)
1.20226443461740e+007	(-2.58372204134572e+001dB,-6.74957723247192e+001°)
1.23026877081237e+007	(-2.56923081718681e+001dB,-6.79540045550714e+001°)
1.25892541179416e+007	(-2.55454937538673e+001dB,-6.84101279622406e+001°)
1.28824955169313e+007	(-2.53968221245700e+001dB,-6.88639357031595e+001°)
1.31825673855640e+007	(-2.52463384204861e+001dB,-6.93152348681661e+001°)
1.34896288259164e+007	(-2.50940878552225e+001dB,-6.97638463919153e+001°)
1.38038426460288e+007	(-2.49401156294355e+001dB,-7.02096049196702e+001°)
