Designator,Mid X,Mid Y,Layer,Rotation
C1,21.08,27.18,Top,0.0
C2,21.08,29.21,Top,0.0
C3,21.08,31.24,Top,0.0
C4,11.43,17.02,Top,180.0
C5,11.43,14.99,Top,180.0
C6,11.43,12.95,Top,180.0
C7,23.62,27.94,Top,90.0
C8,28.45,51.56,Top,270.0
C9,30.48,51.56,Top,90.0
C10,10.92,10.92,Top,180.0
C11,23.11,44.70,Top,0.0
C12,35.81,59.69,Top,180.0
C13,23.11,59.69,Top,0.0
C14,24.64,52.83,Top,0.0
C15,26.92,42.16,Top,270.0
C16,32.51,51.56,Top,270.0
C17,18.29,55.37,Top,270.0
C18,39.62,23.11,Top,90.0
C19,37.59,23.11,Top,90.0
C20, 5.33,36.32,Top,270.0
C21,37.59,26.67,Top,90.0
C22,41.15,27.69,Top,180.0
C23,41.15,29.72,Top,180.0
C24,41.15,31.75,Top,180.0
C25,40.64,33.78,Top,180.0
C26,21.34,33.27,Top,0.0
C27,35.56,27.18,Top,90.0
C28,35.05,13.72,Top,90.0
C29,40.13,38.86,Top,90.0
C30,38.10,38.86,Top,90.0
C31,52.32,38.86,Top,90.0
C32,54.36,38.86,Top,90.0
C33,37.59,44.96,Top,0.0
C34,37.59,46.99,Top,0.0
C35,54.86,44.96,Top,180.0
C36,54.86,46.99,Top,180.0
C37,53.59,56.13,Top,0.0
C38,18.80,38.35,Top,180.0
C39,18.80,40.64,Top,180.0
C40,20.32,55.88,Top,270.0
C41,18.80,42.93,Top,180.0
C42,18.80,64.77,Top,180.0
C43,18.80,45.21,Top,180.0
C44,18.80,67.06,Top,180.0
C45,18.80,47.50,Top,180.0
C46,18.80,60.20,Top,180.0
C47,13.97,36.32,Top,270.0
C48, 5.33,67.31,Top,180.0
C50,18.80,49.78,Top,180.0
C51,18.80,62.48,Top,180.0
C52,18.80,52.07,Top,180.0
C53,34.54,40.89,Top,0.0
C54, 6.60,54.86,Top,270.0
C55, 9.65,36.32,Top,270.0
C56,11.94,36.32,Top,270.0
C57, 7.37,36.32,Top,270.0
CR1,15.49,10.41,Top,90.0
CR2,21.84,10.41,Top,90.0
CR3,28.19,10.41,Top,90.0
CR4,32.77,36.83,Top,90.0
D1,43.18,38.86,Top,0.0
D2,49.02,38.86,Top,0.0
D3,48.26, 7.62,Top,0.0
D6,34.29,57.91,Top,0.0
D10,30.48,42.16,Top,0.0
F1,33.78,44.45,Top,270.0
F2,18.80,69.34,Top,0.0
J1,51.05, 4.32,Top,0.0
L1,27.94,54.61,Top,0.0
L2,30.99,54.61,Top,180.0
L3,29.46,58.17,Top,270.0
L4,24.64,55.37,Top,0.0
L5,34.29,55.37,Top,0.0
L6, 9.65,45.97,Top,90.0
L7, 5.33,64.01,Top,90.0
R1,26.16,31.24,Top,0.0
R2,10.92, 8.89,Top,180.0
R3,50.55,20.57,Top,180.0
R4,50.55,22.61,Top,180.0
R5,50.55,24.64,Top,180.0
R6,50.55,26.67,Top,180.0
R7,20.57,14.48,Top,270.0
R8,26.16,17.02,Top,0.0
R9,26.16,19.05,Top,0.0
R10,26.16,21.08,Top,0.0
R11,50.55,18.54,Top,180.0
R12,39.12,13.72,Top,90.0
R13,50.55,16.51,Top,180.0
R14,18.54,14.48,Top,270.0
R15,11.43,25.15,Top,180.0
R16,11.43,23.11,Top,180.0
R17,10.92, 2.79,Top,180.0
R18,26.16,25.15,Top,0.0
R19,18.54,28.70,Top,270.0
R20,16.51,28.70,Top,270.0
R21,14.48,28.70,Top,270.0
R22,10.92, 6.86,Top,0.0
R23,12.45,28.70,Top,270.0
R24,24.89,42.16,Top,90.0
R25,26.42,44.70,Top,0.0
R26,11.43,21.08,Top,180.0
R27,11.43,19.05,Top,180.0
R28,14.48,14.48,Top,270.0
R29,26.16,23.11,Top,0.0
R30,26.16,27.18,Top,0.0
R31,16.51,14.48,Top,270.0
R32,46.74,56.39,Top,270.0
R33,40.13,56.39,Top,270.0
R34,10.92, 4.83,Top,180.0
R35,32.51,59.69,Top,180.0
R36,26.42,59.69,Top,0.0
R37,33.53,26.67,Top,90.0
R38,36.07,32.26,Top,180.0
R39,36.07,30.23,Top,180.0
R40,50.55,28.70,Top,0.0
R41,36.07,34.29,Top,180.0
R42,35.56,23.11,Top,270.0
R43,40.64,35.81,Top,180.0
R44,26.16,12.95,Top,0.0
R45,30.23,17.02,Top,0.0
R46,37.08,13.72,Top,90.0
R47,47.24,13.72,Top,270.0
R48,49.28,13.72,Top,90.0
R49,51.31,13.72,Top,270.0
R50,50.55,30.73,Top,0.0
R51,45.21,13.72,Top,270.0
R52,43.18,13.72,Top,90.0
R53,30.23,23.11,Top,0.0
R54,30.23,21.08,Top,180.0
R55,41.15,13.72,Top,90.0
R56,26.16,14.99,Top,0.0
R57,41.15,41.66,Top,0.0
R58,44.45,41.66,Top,0.0
R59,48.01,41.66,Top,0.0
R60,51.31,41.66,Top,0.0
R61,38.10,42.16,Top,90.0
R63,54.86,42.93,Top,180.0
R64,43.18,56.39,Top,270.0
R65,49.28,56.39,Top,270.0
R66,10.92,60.20,Top,180.0
R67,14.48,60.20,Top,0.0
R68, 7.37,58.93,Top,90.0
R69, 5.33,58.93,Top,270.0
R70, 5.33,32.77,Top,270.0
T1,30.48,46.74,Top,270.0
T4,46.23,48.77,Top,0.0
U1,17.53,21.84,Top,270.0
U2,44.45,22.35,Top,180.0
U3,30.99,13.72,Top,0.0
U4,12.45,56.13,Top,180.0
